codigop,id_asenta,id_tipo_asenta,d_asenta
1000,1,1,San Ángel
1010,5,1,Los Alpes
1020,6,1,Guadalupe Inn
1030,9,2,Axotla
1030,10,1,Florida
1040,12,1,Campestre
1049,14,2,Tlacopac
1050,16,1,Ex-Hacienda de Guadalupe Chimalistac
1060,17,1,Altavista
1060,18,1,San Ángel Inn
1070,19,1,Chimalistac
1080,22,1,Progreso Tizapan
1089,24,1,Ermita Tizapan
1090,25,3,La Otra Banda
1090,26,3,Loreto
1090,28,2,Tizapan
1100,31,1,Pólvora
1109,33,1,La Conchita
1110,34,1,Belém de las Flores
1110,36,1,El Capulín
1110,37,1,Ampliación El Capulín
1110,39,1,Liberales de 1857
1120,42,1,Acueducto
1120,44,1,Cove
1120,46,1,Hidalgo
1120,47,1,Las Américas
1125,43,1,Ampliación Acueducto
1130,52,1,Paraíso
1130,53,1,Molino de Santo Domingo
1130,56,1,Real del Monte
1139,58,1,Reacomodo Pino Suárez
1140,59,1,Bellavista
1140,60,1,José Maria Pino Suárez
1150,63,1,Cristo Rey
1150,64,1,Tolteca
1160,66,1,Bosque
1160,67,1,Isidro Fabela
1160,68,1,Maria G. de García Ruiz
1160,69,1,1a Victoria
1170,74,1,Abraham M. González
1180,76,1,Carola
1180,77,1,8 de Agosto
1180,78,1,San Pedro de los Pinos
1200,79,1,Arturo Martínez
1210,82,2,Santa Fe
1219,84,1,Lomas de Santa Fe
1220,85,1,Bonanza
1220,86,1,Cuevitas
1220,87,1,El Cuernito
1220,89,1,Mártires de Tacubaya
1220,90,1,Zenón Delgado
1220,2681,1,La Estrella
1230,92,1,Campo de Tiro los Gamitos
1230,97,1,Los Gamitos
1230,98,1,Tlapechico
1230,132,1,El Piru Santa Fe
1230,224,1,El Piru 2a Ampliación
1239,102,1,La Huerta
1240,103,1,Pueblo Nuevo
1250,104,1,El Árbol
1250,105,1,Ladera
1250,106,1,Lomas de Nuevo México
1250,107,1,Margarita Maza de Juárez
1250,108,1,Tecolalco
1259,109,1,Ampliación La Cebada
1259,2845,1,La Mexicana 2a Ampliación
1260,110,1,Calzada Jalalpa
1260,112,1,La Mexicana
1260,113,1,Ampliación La Mexicana
1260,114,1,La Palmita
1260,115,1,Liberación Proletaria
1269,117,1,1a Sección Cañada
1269,118,1,2a Sección Cañada
1270,120,1,El Tejocote
1270,121,1,La Presa
1270,123,1,Golondrinas
1270,124,1,Golondrinas 1a Sección
1270,125,1,Golondrinas 2a Sección
1270,127,1,Lomas de Capula
1275,131,1,Villa Solidaridad
1276,93,1,El Pirul
1278,133,1,Desarrollo Urbano
1279,136,1,Lomas de Becerra
1280,138,1,Arvide
1280,139,1,El Pocito
1280,140,1,Francisco Villa
1280,141,1,La Joya
1285,144,1,El Rodeo
1289,146,1,Reacomodo El Cuernito
1290,147,1,Piloto Adolfo López Mateos
1290,148,1,Presidentes
1296,152,1,Jalalpa Tepito 2a Ampliación
1296,153,1,Ampliación Jalalpa
1296,154,1,Jalalpa Tepito
1298,156,1,Ampliación Piloto Adolfo López Mateos
1299,160,1,1a Ampliación Presidentes
1299,161,1,2a Ampliación Presidentes
1310,163,1,San Gabriel
1320,164,1,Carlos A. Madrazo
1330,168,1,Paseo de las Lomas
1340,170,1,Bejero del Pueblo Santa Fe
1376,171,1,Santa Fe
1376,2682,1,Santa Fe Peña Blanca
1376,2683,1,Santa Fe La Loma
1376,2864,1,Santa Fe Centro Ciudad
1377,172,1,Jalalpa El Grande
1389,176,1,Santa Fe Tlayapaca
1400,181,1,Olivar del Conde 1a Sección
1400,184,1,Preconcreto
1407,187,1,Galeana
1408,188,1,Olivar del Conde 2a Sección
1410,193,1,Barrio Norte
1410,194,1,Palmas
1419,195,1,Minas Cristo Rey
1420,196,1,Sacramento
1420,197,3,Santa María Nonoalco
1430,198,1,Colina del Sur
1450,202,1,Hogar y Redención
1460,204,1,Alfonso XIII
1470,206,3,Alfalfar
1470,207,1,Molino de Rosas
1480,209,1,Lomas de Plateros
1490,211,1,La Cascada
1500,213,2,Santa Lucía
1500,2704,1,Miguel Gaona Armenta
1509,221,2,Santa Lucía Chantepec
1510,222,1,Garcimarrero
1510,223,1,La Araña
1510,2636,1,Los Cedros
1520,94,1,Ampliación Los Pirules
1520,225,1,Estado de Hidalgo
1520,226,1,Ampliación Estado de Hidalgo
1520,227,1,Piru Santa Lucía
1520,2841,1,El Politoco
1530,229,1,Corpus Christy
1538,232,1,Tepopotla
1539,233,1,Acuilotla
1539,2643,1,Cooperativa Unión Olivos
1540,238,1,Balcones de Cehuayo
1540,239,1,Cehuaya
1540,240,1,Llano Redondo
1540,241,1,Punta de Cehuaya
1548,2638,1,Villa Progresista
1549,243,1,Dos Ríos del Pueblo Santa Lucía
1550,245,1,Tepeaca
1550,246,1,Ampliación Tepeaca
1550,2849,1,Rinconada Las Cuevitas
1560,248,1,Ave Real
1560,249,1,Canutillo
1560,250,1,Canutillo 3a Sección
1560,251,1,Canutillo 2a Sección
1566,2747,1,Hueytlale
1569,255,1,Reacomodo Valentín Gómez Farías
1588,259,1,Tarango
1590,261,1,El Rincón
1600,263,1,Merced Gómez
1610,265,1,Colinas de Tarango
1610,2639,1,Profesor J. Arturo López Martínez
1618,267,1,Arcos Centenario
1618,2745,1,Ex-Hacienda de Tarango
1619,268,1,La Martinica
1619,269,1,Rinconada de Tarango
1620,270,1,Lomas de Tarango
1630,271,1,Lomas de Puerta Grande
1630,273,1,Puerta Grande
1630,2640,1,Los Juristas
1640,275,1,Herón Proal
1645,276,1,Ponciano Arriaga
1650,277,1,La Milagrosa
1650,278,1,Palmas Axotitla
1650,279,1,Tlacuitlapa
1650,280,1,Ampliación Tlacuitlapa
1650,281,1,2o Reacomodo Tlacuitlapa
1650,2844,1,El Ruedo
1650,2848,1,Santa Lucía Chantepec
1700,282,1,La Joyita del Pueblo Tetelpan
1700,283,1,Ocotillos del Pueblo Tetelpan
1700,284,1,San Agustín del Pueblo Tetelpan
1700,285,1,2a Del Moral del Pueblo Tetelpan
1700,286,1,Tecalcapa del Pueblo Tetelpan
1700,287,2,Tetelpan
1708,291,1,El Encino del Pueblo Tetelpan
1708,292,1,El Mirador del Pueblo Tetelpan
1710,294,1,Las Águilas
1710,295,1,Ampliación Alpes
1720,297,1,Lomas de Guadalupe
1729,298,1,Alcantarilla
1730,299,1,Lomas de las Águilas
1730,300,1,Puente Colorado
1740,303,1,La Peñita del Pueblo Tetelpan
1740,304,1,San Clemente Norte
1740,2842,1,San Clemente Sur
1750,305,1,Las Águilas 1a Sección
1750,306,1,Las Águilas 2o Parque
1750,307,1,Las Águilas 3er. Parque
1759,308,1,Ampliación Las Águilas
1760,309,1,Atlamaya
1760,310,1,Flor de María
1760,311,1,La Herradura del Pueblo Tetelpan
1770,315,1,La Angostura
1770,316,1,San José del Olivar
1780,318,1,Olivar de los Padres
1780,319,1,Tizampampano del Pueblo Tetelpan
1789,323,1,Miguel Hidalgo
1790,324,1,Lomas de los Ángeles del Pueblo Tetelpan
1790,325,1,Lomas de San Ángel Inn
1800,327,2,San Bartolo Ameyalco
1807,328,1,Rancho San Francisco Pueblo San Bartolo Ameyalco
1810,330,1,Villa Verdún
1820,332,1,Lomas Axomiatla
1820,2843,1,Ejido San Mateo
1830,333,2,Santa Rosa Xochiac
1840,334,1,Torres de Potrero
1849,337,1,Rincón de la Bolsa
1849,2847,1,Rancho del Carmen del Pueblo San Bartolo Ameyalco
1857,341,1,Lomas de Chamontoya
1859,343,1,Tlacoyaque
1860,344,1,Lomas de La Era
