codigop, id_asenta, id_tipo_asenta          , d_asenta
  01000,      0001, 1              , 'San Ángel'
  01010,      0005, 1              , 'Los Alpes'
  01020,      0006, 1              , 'Guadalupe Inn'
  01030,      0009, 2               , 'Axotla'
  01030,      0010, 1              , 'Florida'
  01040,      0012, 1              , 'Campestre'
  01049,      0014, 2               , 'Tlacopac'
  01050,      0016, 1              , 'Ex-Hacienda de Guadalupe Chimalistac'
  01060,      0017, 1              , 'Altavista'
  01060,      0018, 1              , 'San Ángel Inn'
  01070,      0019, 1              , 'Chimalistac'
  01080,      0022, 1              , 'Progreso Tizapan'
  01089,      0024, 1              , 'Ermita Tizapan'
  01090,      0025, 3               , 'La Otra Banda'
  01090,      0026, 3               , 'Loreto'
  01090,      0028, 2               , 'Tizapan'
  01100,      0031, 1              , 'Pólvora'
  01109,      0033, 1              , 'La Conchita'
  01110,      0034, 1              , 'Belém de las Flores'
  01110,      0036, 1              , 'El Capulín'
  01110,      0037, 1              , 'Ampliación El Capulín'
  01110,      0039, 1              , 'Liberales de 1857'
  01120,      0042, 1              , 'Acueducto'
  01120,      0044, 1              , 'Cove'
  01120,      0046, 1              , 'Hidalgo'
  01120,      0047, 1              , 'Las Américas'
  01125,      0043, 1              , 'Ampliación Acueducto'
  01130,      0052, 1              , 'Paraíso'
  01130,      0053, 1              , 'Molino de Santo Domingo'
  01130,      0056, 1              , 'Real del Monte'
  01139,      0058, 1              , 'Reacomodo Pino Suárez'
  01140,      0059, 1              , 'Bellavista'
  01140,      0060, 1              , 'José Maria Pino Suárez'
  01150,      0063, 1              , 'Cristo Rey'
  01150,      0064, 1              , 'Tolteca'
  01160,      0066, 1              , 'Bosque'
  01160,      0067, 1              , 'Isidro Fabela'
  01160,      0068, 1              , 'Maria G. de García Ruiz'
  01160,      0069, 1              , '1a Victoria'
  01170,      0074, 1              , 'Abraham M. González'
  01180,      0076, 1              , 'Carola'
  01180,      0077, 1              , '8 de Agosto'
  01180,      0078, 1              , 'San Pedro de los Pinos'
  01200,      0079, 1              , 'Arturo Martínez'
  01210,      0082, 2               , 'Santa Fe'
  01219,      0084, 1              , 'Lomas de Santa Fe'
  01220,      0085, 1              , 'Bonanza'
  01220,      0086, 1              , 'Cuevitas'
  01220,      0087, 1              , 'El Cuernito'
  01220,      0089, 1              , 'Mártires de Tacubaya'
  01220,      0090, 1              , 'Zenón Delgado'
  01220,      2681, 1              , 'La Estrella'
  01230,      0092, 1              , 'Campo de Tiro los Gamitos'
  01230,      0097, 1              , 'Los Gamitos'
  01230,      0098, 1              , 'Tlapechico'
  01230,      0132, 1              , 'El Piru Santa Fe'
  01230,      0224, 1              , 'El Piru 2a Ampliación'
  01239,      0102, 1              , 'La Huerta'
  01240,      0103, 1              , 'Pueblo Nuevo'
  01250,      0104, 1              , 'El Árbol'
  01250,      0105, 1              , 'Ladera'
  01250,      0106, 1              , 'Lomas de Nuevo México'
  01250,      0107, 1              , 'Margarita Maza de Juárez'
  01250,      0108, 1              , 'Tecolalco'
  01259,      0109, 1              , 'Ampliación La Cebada'
  01259,      2845, 1              , 'La Mexicana 2a Ampliación'
  01260,      0110, 1              , 'Calzada Jalalpa'
  01260,      0112, 1              , 'La Mexicana'
  01260,      0113, 1              , 'Ampliación La Mexicana'
  01260,      0114, 1              , 'La Palmita'
  01260,      0115, 1              , 'Liberación Proletaria'
  01269,      0117, 1              , '1a Sección Cañada'
  01269,      0118, 1              , '2a Sección Cañada'
  01270,      0120, 1              , 'El Tejocote'
  01270,      0121, 1              , 'La Presa'
  01270,      0123, 1              , 'Golondrinas'
  01270,      0124, 1              , 'Golondrinas 1a Sección'
  01270,      0125, 1              , 'Golondrinas 2a Sección'
  01270,      0127, 1              , 'Lomas de Capula'
  01275,      0131, 1              , 'Villa Solidaridad'
  01276,      0093, 1              , 'El Pirul'
  01278,      0133, 1              , 'Desarrollo Urbano'
  01279,      0136, 1              , 'Lomas de Becerra'
  01280,      0138, 1              , 'Arvide'
  01280,      0139, 1              , 'El Pocito'
  01280,      0140, 1              , 'Francisco Villa'
  01280,      0141, 1              , 'La Joya'
  01285,      0144, 1              , 'El Rodeo'
  01289,      0146, 1              , 'Reacomodo El Cuernito'
  01290,      0147, 1              , 'Piloto Adolfo López Mateos'
  01290,      0148, 1              , 'Presidentes'
