d_mnpio          ,id_mnpio,id_estado
'Álvaro Obregón' ,010,09
'Azcapotzalco'   ,002,09
'Benito Juárez'  ,014,09
'Coyoacán'       ,003,09
'Cuajimalpa de Mo,004,09
'Cuauhtémoc'     ,015,09
'Gustavo A. Mader,005,09
'Iztacalco'      ,006,09
'Iztapalapa'     ,007,09
'La Magdalena Con,008,09
'Miguel Hidalgo' ,016,09
'Milpa Alta'     ,009,09
'Tláhuac'        ,011,09
'Tlalpan'        ,012,09
'Venustiano Carra,017,09
'Xochimilco'     ,013,09
'Toluca'         ,106,15
'Ecatepec de More,033,15
'Nezahualcóyotl' ,058,15
