id_Tipo,nom_subtipo,esp_VidaMin,esp_VidaMax,desc_Subtipo
1,Bichon Bolones,12,14,"Perro de compañía, dócil, pelaje rizado blanco; requiere cepillado frecuente."
1,Bichon Maltes,12,15,"Muy afectuoso, pelaje largo blanco; ideal como perro de compañía."
1,Chihuahua Pelo Corto,14,16,Vigilante y vivaz; necesita socialización temprana y abrigo en frío.
1,Chihuahua Pelo Largo,14,16,"Similar al de pelo corto, con manto largo y sedoso."
1,Crestado Chino,13,15,"Variedades con y sin pelo; sensible al frío, muy apegado a su familia."
1,Pequeno Ruso,12,14,"‘Russian Toy’; ligero y activo, ideal para espacios reducidos."
1,Petit Brabancon,12,15,"Variedad de los grifones; expresivo, leal y buen perro de apartamento."
1,Pomerania,12,16,"Espitz diminuto, alerta y vocal; pelaje abundante que requiere cepillado."
1,Silky Terrier Australiano,12,15,Terrier elegante de manto sedoso; activo y curioso.
1,Spaniel continental enano,13,15,"Papillon/Falene; sociable e inteligente, fácil de entrenar."
1,Spaniel Japones,10,14,"‘Japanese Chin’; tranquilo, cariñoso y algo independiente."
1,Terrier ingles miniatura,12,14,Elegante y ágil; requiere ejercicio moderado y socialización.
1,Yorkshire Terrier,12,14,"Terrier compacto, valiente; pelaje largo que necesita mantenimiento."
1,Affenpinscher,12,14,Carácter vivaz y seguro; manto áspero y cara ‘de mono’.
1,Basset leonado de Bretana,12,14,"Sabueso robusto, gran olfato; necesita caminatas diarias."
1,Bedlington terrier,12,14,"Aspecto de ‘cordero’; activo, atlético y buen compañero familiar."
1,Bichon Frise,12,15,Alegre y sociable; manto blanco rizado hipoalergénico para algunos.
1,Bichon habanero,13,15,Juguetón y adaptable; buen perro para familias y pisos.
1,Border terrier,12,15,Trabajador y resistente; necesita actividad y enriquecimiento.
1,Boston Terrier,11,13,"Sociable y amistoso; hocico corto, sensible al calor."
1,Braco de Auvernia,12,14,Braco francés de caza; necesita ejercicio y adiestramiento constante.
1,Bull terrier,10,14,Fuerte y leal; requiere manejo firme y socialización temprana.
1,Cairn Terrier,12,15,Terrier rústico y curioso; buen temperamento para familias activas.
1,Carlino,12,15,‘Pug’; cariñoso y simpático; vigilar respiración y sobrepeso.
1,Cavalier King Charles,9,15,Dulce y apegado; requiere cuidado cardíaco preventivo.
1,Coton de Tulear,14,16,Manto algodonoso; muy sociable y adaptable.
1,Dandie Dinmont Terrier,12,14,Terrier bajo y robusto; valiente y afectuoso.
1,Fox terrier de pelo duro,12,15,Enérgico y cazador; precisa ejercicio y estimulación mental.
1,Fox Terrier de Pelo Liso,12,15,Similar al de pelo duro; atlético y tenaz.
1,Grifon Belga,12,15,Sensible y leal; buen perro de compañía atento.
1,Grifon de Bruselas,12,15,Carácter divertido y expresivo; requiere socialización amable.
1,Italian Greyhound,12,15,"Galgo mini; delicado con frío, muy cariñoso y veloz."
1,Jack Russell Terrier,12,15,Altísima energía e inteligencia; necesita trabajo y juego diario.
1,Jagd Terrier,12,15,"Terrier de caza alemán; activo, valiente y enfocado."
1,Japanese Spitz,10,14,Spitz blanco de buen carácter; fácil de adiestrar.
1,King Charles spaniel,10,14,"‘English Toy Spaniel’; afectuoso y calmado, ideal para interior."
1,Lakeland Terrier,12,15,"Terrier británico; independiente, necesita ejercicio regular."
1,Lhasa Apso,12,15,Vigilante y reservado con extraños; abundante pelaje.
1,Lundehund noruego,12,15,"Raza nórdica muy flexible; dedos extra, ágil y curioso."
1,Miniature Pinscher,12,16,"‘Pinscher mini’; alerta, vivaz y seguro de sí."
1,Mudi,12,14,Pastor húngaro versátil; muy activo y obediente.
1,Parson Russell Terrier,12,15,Similar al Jack Russell; gran instinto de caza y salto.
1,Pastor de los Pirineos,12,15,Pastor ágil y trabajador; necesita actividad diaria.
1,Pastor de los Pirineos de Cara Rasa,12,15,"Variedad de pelo liso; leal, rápido y enérgico."
1,Pastor de Shetland,12,14,Inteligente y sensible; excelente en obediencia y agility.
1,Pekines,12,15,"Leal y algo independiente; hocico corto, evitar calor excesivo."
1,Pequeno perro leon,12,14,"‘Löwchen’; alegre y sociable, manto largo y abundante."
1,Perro de Granja Danes y Sueco,12,15,Perro polivalente de granja; activo y amistoso.
1,Podenco portugues,12,14,"Tres tallas; cazador veloz y resistente, muy atento."
1,Pumi,12,14,Pastor húngaro rizado; muy enérgico e inteligente.
1,Ratonero Holandes,12,14,Terrier/ratonero activo; necesita ejercicio y socializacion.
1,Schipperke,13,15,"Spitz belga sin cola; vigilante, curioso y agil."
